StopID_Route,WhiteAlone,BlackorAfricanAmericanAlone,AmericanIndianandAlaskaNativealone,AsianAlone,HawaiianPacificIslander,OtherRace,TwoPlusRaces,Owner occupied,Renter occupied,Age15to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85andOver,tot_blk_area_sq_mi,areaPcBlockInStop
7723-33,277.7870241172042,21.102137260814406,0.918947713591594,3.169566783503697,0.5373245251857969,6.158378809746935,5.057916514451168,273.0845314155751,41.64676430892274,2.7794519154828383,42.66059067373875,52.00460606627313,88.95487196689822,41.166283971606724,40.828151272645606,32.10778143035273,13.221522398729386,1.0080360287704282,0.17266,7.576996986266272
7729-16,259.81778508715087,12.583591759282683,1.3356967464702272,3.606316860862372,0.0,3.461288272448395,4.16863971331584,210.5528797050131,74.42043873451726,9.146027327585188,51.07573005937896,56.22478797010701,53.82150985858861,32.41067191527136,22.398132288986318,27.89723370967651,26.632942951453085,5.366282358483327,0.172735,13.019430233179188
7729-38,259.81778508715087,12.583591759282683,1.3356967464702272,3.606316860862372,0.0,3.461288272448395,4.16863971331584,210.5528797050131,74.42043873451726,9.146027327585188,51.07573005937896,56.22478797010701,53.82150985858861,32.41067191527136,22.398132288986318,27.89723370967651,26.632942951453085,5.366282358483327,0.172735,13.019430233179188
773-44,380.00320528522224,11.538330311770792,2.681155693340725,69.21845550704201,0.10806286299965837,3.455903005570685,10.725955213951728,0.0,477.7310678798978,413.1753823086204,15.875826934783719,4.117086496028243,18.34397793468667,15.108892504013522,4.9939480262775415,5.992734434044531,0.12321924144310824,0.0,0.17272500000000005,18.245026661554935
7733-33,242.1891617842475,6.0231090336201705,0.0034406826314340765,1.496346450240771,0.0034406826314340765,0.7390278770550393,0.9930142560152748,242.55815018315178,8.889390583289892,1.396307681081544,18.394255682364484,28.437661128181226,53.505616926987514,28.602599611520752,35.74154550212478,45.88926957705633,33.7547673670815,5.725517290043541,0.17268299999999998,6.388702933583975
7734-30,298.5969481075198,29.612896934911895,2.0016286158973347,5.949306865313606,0.7704786107581533,3.1974196179800694,4.291473675501562,158.28662475429428,186.1335276735881,13.229700059165861,61.4860726600209,45.06993467021087,50.07216663592594,30.230409096364347,26.939653485545445,40.350574675698695,43.81700996985508,33.22463117509524,0.172657,9.836286541071013
7734-32,298.5969481075198,29.612896934911895,2.0016286158973347,5.949306865313606,0.7704786107581533,3.1974196179800694,4.291473675501562,158.28662475429428,186.1335276735881,13.229700059165861,61.4860726600209,45.06993467021087,50.07216663592594,30.230409096364347,26.939653485545445,40.350574675698695,43.81700996985508,33.22463117509524,0.172657,9.836286541071013
7734-33,298.5969481075198,29.612896934911895,2.0016286158973347,5.949306865313606,0.7704786107581533,3.1974196179800694,4.291473675501562,158.28662475429428,186.1335276735881,13.229700059165861,61.4860726600209,45.06993467021087,50.07216663592594,30.230409096364347,26.939653485545445,40.350574675698695,43.81700996985508,33.22463117509524,0.172657,9.836286541071013
7734-35,298.5969481075198,29.612896934911895,2.0016286158973347,5.949306865313606,0.7704786107581533,3.1974196179800694,4.291473675501562,158.28662475429428,186.1335276735881,13.229700059165861,61.4860726600209,45.06993467021087,50.07216663592594,30.230409096364347,26.939653485545445,40.350574675698695,43.81700996985508,33.22463117509524,0.172657,9.836286541071013
7739-16,171.94552606717744,3.508742181475568,0.821998078770413,0.008976833976833978,0.0,4.642093506207467,1.282987610619469,165.80199543187882,16.408328846348397,1.822198078770413,29.70028615603435,22.927906697308664,38.01832405771676,20.829009131176125,16.202772094007145,26.225786967008048,16.620036342028094,9.864004754177596,0.172756,9.441027847644616
