ZONING_COD,StopID,Route,area_sq_mi
TR-C1,1206,14,0.002477185
TR-C1,1206,15,0.002477185
TR-C1,1206,17,0.002477185
TR-C1,7169,30,0.006579108
TR-C1,7169,32,0.006579108
TR-C1,7169,35,0.006579108
TR-C1,1270,3,0.04520668
TR-C1,1270,16,0.04520668
TR-C1,1270,31,0.04520668
TR-C1,1309,14,0.006623034
TR-C1,1309,15,0.006623034
TR-C1,1309,17,0.006623034
TR-C1,1478,3,0.034201278
TR-C1,1478,16,0.034201278
TR-C1,1478,31,0.034201278
TR-C1,1785,3,0.01243301
TR-C1,1785,16,0.01243301
TR-C1,1786,3,0.053603129
TR-C1,1786,16,0.053603129
TR-C1,1786,31,0.053603129
TR-C1,1809,3,0.040642973
TR-C1,1809,16,0.040642973
TR-C1,1809,31,0.040642973
TR-C1,1886,5,0.037278581
TR-C1,1886,14,0.037278581
TR-C1,1886,15,0.037278581
TR-C1,1886,17,0.037278581
TR-C1,1886,34,0.037278581
TR-C1,1890,3,0.008758322
TR-C1,1890,16,0.008758322
TR-C1,1890,31,0.008758322
TR-C1,1890,38,0.008758322
SE,7235,39,0.046399266
SE,7538,37,0.046399266
SE,7538,39,0.046399266
SE,7689,39,0.03085067
TR-V1,2678,19,0.000253337
TR-V1,2717,1,0.000253337
TR-V1,2717,2,0.000253337
TR-V1,2717,10,0.000253337
TR-V1,2717,19,0.000253337
TR-V1,2717,37,0.000253337
TR-V1,2717,48,0.000253337
TR-V1,2806,2,0.000253337
TR-V1,2806,10,0.000253337
TR-V1,2806,19,0.000253337
TR-V1,2806,37,0.000253337
TR-V1,2880,19,0.000253337
TR-V1,2921,1,0.000253337
TR-V1,2921,2,0.000253337
TR-V1,2921,10,0.000253337
TR-V1,2921,19,0.000253337
TR-V1,2921,37,0.000253337
TR-V1,2921,48,0.000253337
TR-V1,2146,2,0.000253337
TR-V1,2146,10,0.000253337
TR-V1,2146,19,0.000253337
TR-V1,2146,37,0.000253337
TR-V1,2146,48,0.000253337
TR-V1,2239,19,0.000253337
TR-V1,2267,11,5.46671E-05
TR-V1,2267,28,5.46671E-05
TR-V1,2267,38,5.46671E-05
TR-V1,2267,44,5.46671E-05
TR-V1,2267,80,5.46671E-05
TR-V1,2559,19,0.000253337
PD,8384,55,0.003495822
PD,8927,55,0.003495822
SR-V2,9204,30,0.01054043
SR-V2,9276,30,0.01054043
SR-V2,9291,30,0.01054043
SR-V2,9432,30,0.007444256
SR-V2,9636,30,0.000579986
SR-V2,9645,30,0.001324837
TR-U1,1213,3,1.94592E-07
TR-U1,1213,4,1.94592E-07
TR-U1,1213,10,1.94592E-07
TR-U1,1505,3,0.0009856
TR-U1,1505,4,0.0009856
TR-U1,1505,10,0.0009856
TR-U1,1505,38,0.0009856
TR-U1,1526,3,0.000985426
TR-U1,1526,4,0.000985426
TR-U1,1526,10,0.000985426
TR-U1,1530,3,0.0009856
TR-U1,1530,4,0.0009856
TR-U1,1530,10,0.0009856
TR-U1,1530,38,0.0009856
TR-U1,1559,3,0.0009856
TR-U1,1559,4,0.0009856
TR-U1,1559,10,0.0009856
TR-U1,1559,38,0.0009856
TR-U1,1689,3,0.0009856
TR-U1,1689,4,0.0009856
TR-U1,1689,10,0.0009856
TR-U1,1689,38,0.0009856
TR-U1,1730,6,0.00072435
TR-U1,1730,14,0.00072435
TR-U1,1730,15,0.00072435
TR-U1,1730,27,0.00072435
TR-U1,1730,37,0.00072435
